cds_code,county,district,school,school_type,sector_type,charter,status,details_url,email,administrator,cds code,educational program type,fax number,high grade,last updated,located within the boundaries of this public school district,low grade,mailing address,open date,phone number,public school,school address,school type,statistical info,virtual instruction,web address
19648086963482,Los Angeles,Montebello Unified,St. Benedict Elementary,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648086963482,ajuarez@st-benedict.org,Dr. Anabel Juarez Principal anabel.juarez@la-archdiocese.org Dr. Anabel Juarez (Custodian of Records) anabel.juarez@la-archdiocese.org,19 64808 6963482,Information Not Available,(323) 721-8698,8,"November 26, 2024",Montebello Unified,K,"217 North 10th St. Montebello, CA 90640-4604","July 1, 1980",(323) 721-3348,No,"217 North 10th St. Montebello, CA 90640-4604 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,http://st-benedictschool.edlioschool.com/ Link opens new browser tab
19648086963888,Los Angeles,Montebello Unified,St. Gertrude School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648086963888,peggy.weber@stgertrudethegreat.org,Mrs. Peggy Weber Principal peggy.weber@stgertrudethegreat.org Mrs. Peggy Weber (Custodian of Records) peggy.weber@stgertrudethegreat.org,19 64808 6963888,Information Not Available,Information Not Available,8,"November 26, 2024",Montebello Unified,K,"6824 Toler Ave. Bell Gardens, CA 90201-3210","July 1, 1980",(562) 927-1216,No,"6824 Toler Ave. Bell Gardens, CA 90201-3210 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.stgertrudethegreat.org Link opens new browser tab
19648086964662,Los Angeles,Montebello Unified,St. Thomas Aquinas School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648086964662,info@stampkschool.org,Mr. Marco Juarez Principal juarez@stampkschool.org Miss Aracely Urena (Custodian of Records) info@stampkschool.org,19 64808 6964662,Information Not Available,Information Not Available,8,"November 26, 2024",Montebello Unified,K,"1501 South Atlantic Blvd. Monterey Park, CA 91754-5202","July 1, 1980",(323) 261-6583,No,"1501 South Atlantic Blvd. Monterey Park, CA 91754-5202 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.stampkschool.org Link opens new browser tab
19648086982300,Los Angeles,Montebello Unified,Montebello Christian School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648086982300,school@montebellochristian.com,Mrs. Carla Gonzalez Principal principal@montebellochristian.com Mrs. Denisa Mendoza (Custodian of Records) school@montebellochristian.com,19 64808 6982300,Information Not Available,(323) 728-8396,8,"November 26, 2024",Montebello Unified,K,"136 South 7th St. Montebello, CA 90640-4703","July 1, 1980",(323) 728-4419,No,"136 South 7th St. Montebello, CA 90640-4703 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.montebellochristian.com Link opens new browser tab
19648087048416,Los Angeles,Montebello Unified,Meher Montessori School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648087048416,echavez@mehermontessori.org,Ms. Elodia Chavez Other echavez@mehermontessori.org Ms. Elodia Chavez (Custodian of Records) echavez@mehermontessori.org,19 64808 7048416,Information Not Available,(323) 724-0028,6,"November 26, 2024",Montebello Unified,K,"2009 S. Garfield Ave Monterey Park, CA 91754-6617","July 1, 1980",(323) 724-0683,No,"2009 S. Garfield Ave Monterey Park, CA 91754-6617 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.mehermontessori.org Link opens new browser tab
19648326962948,Los Angeles,Newhall,Our Lady of Perpetual Help School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648326962948,principal@olphsc.org,Mrs. Sharon Krahl Principal principal@olphsc.org Mrs. Sharon Krahl (Custodian of Records) principal@olphsc.org,19 64832 6962948,Information Not Available,(661) 259-8254,8,"August 20, 2025",Newhall,K,"23225 Lyons Ave. Santa Clarita, CA 91321-2632","July 1, 1980",(661) 259-1141,No,"23225 Lyons Ave. Santa Clarita, CA 91321-2632 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,http://olphsc.org Link opens new browser tab
19649987088750,Los Angeles,Saugus Union,Legacy Christian Academy,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19649987088750,shults@legacy-christian.com,Mr. Matthew Millett Head of School millett@legacy-christian.com Mrs. Maria Johnson (Custodian of Records) johnson@legacy-christian.com,19 64998 7088750,Information Not Available,(661) 257-7370,12,"November 26, 2024",Saugus Union,K,"27680 Dickason Dr. Valencia, CA 91355-4047","July 1, 1980",(661) 257-7377,No,"27680 Dickason Dr. Valencia, CA 91355-4047 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,http://legacy-christian.com Link opens new browser tab
19648406960793,Los Angeles,Norwalk-La Mirada Unified,Beatitudes of our Lord Elementary,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648406960793,office@bolschool.org,Mr. Andre Villegas Principal office@bolschool.org Mr. Andre Villegas (Custodian of Records) avillegas@la-archdiocese.org,19 64840 6960793,Information Not Available,(562) 943-9718,8,"September 3, 2025",Norwalk-La Mirada Unified,K,"13021 South Santa Gertrudes Ave. La Mirada, CA 90638-2699","July 1, 1980",(562) 943-3218,No,"13021 South Santa Gertrudes Ave. La Mirada, CA 90638-2699 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.bolschool.org Link opens new browser tab
19648406964043,Los Angeles,Norwalk-La Mirada Unified,Saint John of God,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648406964043,school@sjogschool.com,Dr. Sarah Gonzalez Principal principal@sjogschool.com Ms. Diana Noriega (Custodian of Records) school@sjogschool.com,19 64840 6964043,Information Not Available,Information Not Available,8,"November 26, 2024",Norwalk-La Mirada Unified,K,"13817 Pioneer Blvd. Norwalk, CA 90650-3919","July 1, 1980",(562) 863-5722,No,"13817 Pioneer Blvd. Norwalk, CA 90650-3919 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.sjogschool.com Link opens new browser tab
19648406964167,Los Angeles,Norwalk-La Mirada Unified,St. Linus School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648406964167,Tdo@la-archdiocese.org,Ms. Nguyet Do Principal Tdo@la-archdiocese.org Mrs. Anani Vera (Custodian of Records) avera@stlinuslions.com,19 64840 6964167,Information Not Available,(562) 926-9077,8,"November 26, 2024",Norwalk-La Mirada Unified,K,"13913 Shoemaker Ave. Norwalk, CA 90650-4535","July 1, 1980",(562) 921-0336,No,"13913 Shoemaker Ave. Norwalk, CA 90650-4535 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.stlinuslions.com Link opens new browser tab
19648406964464,Los Angeles,Norwalk-La Mirada Unified,St. Paul of the Cross Elementary,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648406964464,carlosloaizasr@la-archdiocese.org,Mr. CARLOS LOAIZA Principal carlosloaizasr@la-archdiocese.org Mrs. Lucy Alba (Custodian of Records) luabla@la-archdiocese.org,19 64840 6964464,Information Not Available,Information Not Available,8,"August 8, 2025",Norwalk-La Mirada Unified,K,"14030 Foster Rd. La Mirada, CA 90638-2805","July 1, 1980",(562) 445-4524,No,"14030 Foster Rd. La Mirada, CA 90638-2805 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.spocschoollm.org Link opens new browser tab
19648407084650,Los Angeles,Norwalk-La Mirada Unified,New Harvest Christian,K-12 Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648407084650,info@newharvestnorwalk.church,Ms. Beatriz Suarez Principal principal@newharvestnorwalk.church Ms. Beatriz Suarez (Custodian of Records) principal@newharvestnorwalk.church,19 64840 7084650,Information Not Available,Information Not Available,12,"November 26, 2024",Norwalk-La Mirada Unified,K,"11364 East Imperial Hwy. Norwalk, CA 90650-2204","July 1, 1980",(562) 929-6034,No,"11364 East Imperial Hwy. Norwalk, CA 90650-2204 Google Map Link opens new browser tab",K-12 Schools (Private),Link to CDE Private School Data page,,www.nhcsnorwalk.com Link opens new browser tab
19648407088057,Los Angeles,Norwalk-La Mirada Unified,Foundation Christian School,K-12 Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648407088057,FoundationChristianSchoolCA@gmail.com,Juliana Wilson Administrator FoundationChristianSchoolCA@gmail.com Sarah Martinez (Custodian of Records) foundationchristianschoolca@gmail.com,19 64840 7088057,Information Not Available,Information Not Available,12,"October 15, 2024",Norwalk-La Mirada Unified,1,"14901 Adelfa Dr., Number 1840 La Mirada, CA 90637","July 1, 1980",(562) 345-5000,No,"14901 Adelfa Dr., Number 1840 La Mirada, CA 90637 Google Map Link opens new browser tab",K-12 Schools (Private),Link to CDE Private School Data page,,Information Not Available
19648576964308,Los Angeles,Palmdale Elementary,St. Mary Elementary Catholic,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648576964308,nbarriga@stmaryspalmdale.org,Mrs. Nennette Barriga Principal nbarriga@stmaryspalmdale.org Mrs. Nennette Barriga (Custodian of Records) nbarriga@stmaryspalmdale.org,19 64857 6964308,Information Not Available,Information Not Available,8,"November 26, 2024",Palmdale Elementary,K,"1600 East Ave. R-4 Palmdale, CA 93550-6182","July 1, 1980",(661) 273-5555,No,"1600 East Ave. R-4 Palmdale, CA 93550-6182 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,http://stmaryspalmdale.org Link opens new browser tab
19648577024649,Los Angeles,Palmdale Elementary,Westside Christian,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648577024649,schoengarth@dhbc-wcs.com,Cynthia Curry Principal curry_pastor@dhbc-wcs.om Vera Schoengarth (Custodian of Records) schoengarth@dhbc-wcs.com,19 64857 7024649,Information Not Available,(661) 947-3417,8,"August 19, 2025",Palmdale Elementary,K,"40027 11th St. West Palmdale, CA 93551-3018","July 1, 1980",(661) 947-7000,No,"40027 11th St. West Palmdale, CA 93551-3018 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.dhbc-wcs.com/ Link opens new browser tab
19648577088834,Los Angeles,Palmdale Elementary,Shepherd Christian School,K-12 Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648577088834,shepherdchristianschool@yahoo.com,Mrs. Linda Schasch Administrator shepherdchristianschool@yahoo.com Mrs. Linda Schasch (Custodian of Records) shepherdchristianschool@yahoo.com,19 64857 7088834,Information Not Available,Information Not Available,12,"November 26, 2024",Palmdale Elementary,K,"1730 High Vista Ave. Palmdale, CA 93550-7354","July 1, 1980",(661) 272-4774,No,"1730 High Vista Ave. Palmdale, CA 93550-7354 Google Map Link opens new browser tab",K-12 Schools (Private),Link to CDE Private School Data page,,www.shepherdchristianschool.com Link opens new browser tab
19646677092919,Los Angeles,Lancaster Elementary,Calvary Chapel Christian School,K-12 Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19646677092919,cccsp@calvarychapelav.org,Mrs. Giselda Mancilla Administrator cccsp@calvarychapelav.org Mrs. Giselda Mancilla (Custodian of Records) cccsp@calvarychapelav.org,19 64667 7092919,Information Not Available,Information Not Available,12,"November 26, 2024",Lancaster Elementary,K,"1661 West Lancaster Blvd. Lancaster, CA 93534-2124","July 1, 1980",(661) 942-0404,No,"1661 West Lancaster Blvd. Lancaster, CA 93534-2124 Google Map Link opens new browser tab",K-12 Schools (Private),Link to CDE Private School Data page,,www.calvarychapelav.org/cccs Link opens new browser tab
19648656926703,Los Angeles,Palos Verdes Peninsula Unified,PV Peninsula Montessori School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648656926703,claudia@pvpms.com,Mrs. Claudia Krikorian Executive Director claudia@pvpms.com Ms. Claudia Krikorian (Custodian of Records) claudia@pvpms.com,19 64865 6926703,Information Not Available,(310) 544-2629,5,"November 26, 2024",Palos Verdes Peninsula Unified,K,"31100 Hawthorne Blvd. Rancho Palos Verdes, CA 90275-5354","July 1, 1980",(310) 544-3099,No,"31100 Hawthorne Blvd. Rancho Palos Verdes, CA 90275-5354 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.pvpms.com Link opens new browser tab
19648656934467,Los Angeles,Palos Verdes Peninsula Unified,Chadwick,K-12 Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648656934467,slitwiller@chadwickschool.org,Mrs. Susan Litwiller Other slitwiller@chadwickschool.org Sarah Takatsuki (Custodian of Records) stakatsuki@chadwickschool.org,19 64865 6934467,Information Not Available,Information Not Available,12,"November 26, 2024",Palos Verdes Peninsula Unified,K,"26800 South Academy Dr. Palos Verdes Peninsula, CA 90274-3980","July 1, 1980",(310) 377-1543,No,"26800 South Academy Dr. Palos Verdes Peninsula, CA 90274-3980 Google Map Link opens new browser tab",K-12 Schools (Private),Link to CDE Private School Data page,,www.chadwickschool.org Link opens new browser tab
19647336935720,Los Angeles,Los Angeles Unified,Rolling Hills Preparatory School,K-12 Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647336935720,jolivier@rollinghillsprep.org,Dr. Jacqueline Olivier Head of School jolivier@rollinghillsprep.org Adriana Alejandro (Custodian of Records) adriana.alejandre@rollinghillsprep.org,19 64733 6935720,Information Not Available,Information Not Available,12,"November 26, 2024",Los Angeles Unified,5,"1 Rolling Hills Prep Way San Pedro, CA 90732-5200","July 1, 1980",(310) 600-1146,No,"1 Rolling Hills Prep Way San Pedro, CA 90732-5200 Google Map Link opens new browser tab",K-12 Schools (Private),Link to CDE Private School Data page,,www.rollinghillsprep.org/ Link opens new browser tab
19648656964035,Los Angeles,Palos Verdes Peninsula Unified,St. John Fisher School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648656964035,principal@sjf.org,Mrs. Colleen Guenther Principal principal@sjf.org Mrs. Colleen Guenther (Custodian of Records) principal@sjf.org,19 64865 6964035,Information Not Available,(310) 377-3863,8,"November 26, 2024",Palos Verdes Peninsula Unified,K,"5446 Crest Rd. Rancho Palos Verdes, CA 90275-5027","July 1, 1980",(310) 377-2800,No,"5446 Crest Rd. Rancho Palos Verdes, CA 90275-5027 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.sjfpv.org Link opens new browser tab
19648656968119,Los Angeles,Palos Verdes Peninsula Unified,Rolling Hills Country Day School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648656968119,rhcds@rhcds.com,Mrs. Karen Shipherd Executive Director kshipherd@rhcds.com Ms. Laura Chavez (Custodian of Records) lchavez@rhcds.com,19 64865 6968119,Information Not Available,(310) 377-9651,8,"November 26, 2024",Palos Verdes Peninsula Unified,K,"26444 Crenshaw Blvd. Rolling Hills Estates, CA 90274-2517","July 1, 1980",(310) 377-4848,No,"26444 Crenshaw Blvd. Rolling Hills Estates, CA 90274-2517 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,http://rhcds.com Link opens new browser tab
19648656983316,Los Angeles,Palos Verdes Peninsula Unified,Peninsula Heritage School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648656983316,cchun@peninsulaheritage.org,Mrs. Joan E. Behrens Administrator jbehrens@peninsulaheritage.org Mr. Pedro Jimenez (Custodian of Records) pjimenez@peninsulaheritage.org,19 64865 6983316,Information Not Available,(310) 541-8264,8,"November 26, 2024",Palos Verdes Peninsula Unified,K,"26944 Rolling Hills Rd. Rolling Hills Estates, CA 90274","July 1, 1980",(310) 541-4795,No,"26944 and 26825 Rolling Hills Rd. Rolling Hills Estates, CA 90274 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.peninsulaheritage.org Link opens new browser tab
19648736962971,Los Angeles,Paramount Unified,Our Lady of the Rosary School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648736962971,vanrivas@la-archdiocese.org,Mrs. Vanessa Rivas Principal VanRivas@la-archdiocese.org Mrs. Vanessa Rivas (Custodian of Records) mrsvanrivas@olrwarriors.org,19 64873 6962971,Information Not Available,Information Not Available,8,"November 26, 2024",Paramount Unified,K,"14813 South Paramount Blvd. Paramount, CA 90723-3406","July 1, 1980",(562) 383-5660,No,"14813 South Paramount Blvd. Paramount, CA 90723-3406 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,http://olrcatholicschool.com Link opens new browser tab
19648736964415,Los Angeles,Paramount Unified,St. Pancratius,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648736964415,mramirez@stpanschool.org,Ms. Melina Ramirez Administrator mramirez@stpanschool.org Ms. Melina Ramirez (Custodian of Records) mramirez@stpanschool.org,19 64873 6964415,Information Not Available,Information Not Available,8,"November 26, 2024",Paramount Unified,K,"3601 St. Pancratius Pl Lakewood, CA 90712-1417","July 1, 1980",(562) 634-6310,No,"3601 St. Pancratius Pl Lakewood, CA 90712-1417 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.stpanschool.org/ Link opens new browser tab
19648816903751,Los Angeles,Pasadena Unified,Bethany Christian School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648816903751,bethanychristian@bcslions.org,Mr. Jonathan Hawes Head of School jhawes@bcslions.org Miss Alina Bayrakdarian (Custodian of Records) abayrakdarian@bcslions.org,19 64881 6903751,Information Not Available,Information Not Available,8,"September 5, 2025",Pasadena Unified,K,"93 N Baldwin Ave., Ste. B Sierra Madre, CA 91024-1901","July 1, 1980",(626) 355-3527,No,"93 N Baldwin Ave., Ste. B Sierra Madre, CA 91024-1901 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.bcslions.org Link opens new browser tab
19648816912976,Los Angeles,Pasadena Unified,Sahag-Mesrob Armenian Christian School,K-12 Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648816912976,mboyadjian@sahagmesrobschool.org,Mrs. Maral Boyadjian Principal mboyadjian@sahagmesrobschool.org Mrs. Mary Marachlian (Custodian of Records) mmarachlian@sahagmesrobschool.org,19 64881 6912976,Information Not Available,Information Not Available,8,"November 26, 2024",Pasadena Unified,K,"2501 N. Maiden Ln. Altadena, CA 91001-2060","July 1, 1980",(626) 798-5020,No,"2501 N. Maiden Ln. Altadena, CA 91001-2060 Google Map Link opens new browser tab",K-12 Schools (Private),Link to CDE Private School Data page,,www.sahagmesrobschool.org Link opens new browser tab
19648816916571,Los Angeles,Pasadena Unified,Pasadena Waldorf School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648816916571,esemin@pasadenawaldorf.org,Ms. Jena Hoffman Administrator jhoffman@pasadenawaldorf.org Ms. Frances Mencia (Custodian of Records) fmencia@pasadenawaldorf.org,19 64881 6916571,Information Not Available,Information Not Available,12,"November 26, 2024",Pasadena Unified,K,"209 East Mariposa St. Altadena, CA 91001-5133","July 1, 1980",(626) 794-9564,No,"209 East Mariposa St. Altadena, CA 91001-5133 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,http://pasadenawaldorf.org Link opens new browser tab
19648816934186,Los Angeles,Pasadena Unified,Alverno Heights Academy,High Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648816934186,jharabedian@alvernoheights.org,Mrs. Joanne Harabedian Head of School jharabedian@alvernoheights.org Mr. Gabriel Hernandez (Custodian of Records) gherandez@alvernoheights.org,19 64881 6934186,Information Not Available,(626) 355-3153,8,"November 26, 2024",Pasadena Unified,K,"200 North Michillinda Ave. Sierra Madre, CA 91024-1616","July 1, 1980",(626) 355-3463,No,"200 North Michillinda Ave. Sierra Madre, CA 91024-1616 Google Map Link opens new browser tab",High Schools (Private),Link to CDE Private School Data page,,www.alvernoheightsacademy.org/ Link opens new browser tab
19648816935035,Los Angeles,Pasadena Unified,La Salle High School,High Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648816935035,principal@lasallehs.org,Mr. Perry Martin President pmartin@lasallehs.org Mr. Owen Hou (Custodian of Records) ohou@lasallehs.org,19 64881 6935035,Information Not Available,(626) 696-4433,12,"August 26, 2025",Pasadena Unified,9,"3880 East Sierra Madre Blvd. Pasadena, CA 91107-1996","July 1, 1980",(626) 696-4300,No,"3880 East Sierra Madre Blvd. Pasadena, CA 91107-1996 Google Map Link opens new browser tab",High Schools (Private),Link to CDE Private School Data page,,www.lasallehs.org Link opens new browser tab
19648816935241,Los Angeles,Pasadena Unified,Maranatha High School,High Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648816935241,b_romero@mhs-hs.org,Dr. Matthew Ketterling Head of School s_witherspoon@mhs-hs.org Taylor Mcbride (Custodian of Records) t_mcbride@mhs-hs.org,19 64881 6935241,Information Not Available,(626) 817-4040,12,"August 8, 2025",Pasadena Unified,9,"169 South Saint John Ave Pasadena, CA 91105-1853","July 1, 1980",(626) 817-4097,No,"169 South Saint John Ave Pasadena, CA 91105-1853 Google Map Link opens new browser tab",High Schools (Private),Link to CDE Private School Data page,,www.maranathahighschool.org Link opens new browser tab
19648816935282,Los Angeles,Pasadena Unified,Mayfield Senior School,High Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648816935282,cynthia.riegsecker@mayfieldsenior.org,Laura Farrell Head of School Laura.Farrell@mayfieldsenior.org Debra Abbott (Custodian of Records) debra.abbott@mayfieldsenior.org,19 64881 6935282,Information Not Available,(626) 799-8576,12,"November 26, 2024",Pasadena Unified,9,"500 Bellefontaine St. Pasadena, CA 91105-2439","July 1, 1980",(626) 799-9121,No,"500 Bellefontaine St. Pasadena, CA 91105-2439 Google Map Link opens new browser tab",High Schools (Private),Link to CDE Private School Data page,,http://mayfieldsenior.org Link opens new browser tab
19648816935589,Los Angeles,Pasadena Unified,Polytechnic School,K-12 Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648816935589,jbracker@polytechnic.org,Mr. John Bracker Head of School jbracker@polytechnic.org Ms. Laurianne Williams (Custodian of Records) lwilliams@polytechnic.org,19 64881 6935589,Information Not Available,(626) 396-5690,12,"August 6, 2025",Pasadena Unified,K,"1030 East California Blvd. Pasadena, CA 91106-4042","July 1, 1980",(626) 396-6300,No,"1030 East California Blvd. Pasadena, CA 91106-4042 Google Map Link opens new browser tab",K-12 Schools (Private),Link to CDE Private School Data page,,www.polytechnic.org Link opens new browser tab
19648816936199,Los Angeles,Pasadena Unified,Villa Esperanza Services,K-12 Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648816936199,rreagan@VillaES.org,Ms. Robyn Reagan Principal rreagan@VillaES.org Ms. Robyn Reagan (Custodian of Records) rreagan@VillaES.org,19 64881 6936199,Nonpublic Certified School,(626) 449-2850,12,"October 15, 2024",Pasadena Unified,K,"2116 East Villa St. Pasadena, CA 91107-1107","July 1, 1980",(626) 449-2919,No,"2116 East Villa St. Pasadena, CA 91107-1107 Google Map Link opens new browser tab",K-12 Schools (Private),Link to CDE Private School Data page,,www.villaesperanzaservices.org Link opens new browser tab
19648816936264,Los Angeles,Pasadena Unified,Westridge School for Girls,K-12 Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648816936264,lross@westridge.org,Ms. Linda Ross Other lross@westridge.org Mr. Jackson Finnerman (Custodian of Records) jfinnerman@westridge.org,19 64881 6936264,Information Not Available,(626) 799-0649,12,"November 26, 2024",Pasadena Unified,4,"324 Madeline Dr. Pasadena, CA 91105-3333","July 1, 1980",(626) 799-1053,No,"324 Madeline Dr. Pasadena, CA 91105-3333 Google Map Link opens new browser tab",K-12 Schools (Private),Link to CDE Private School Data page,,www.westridge.org Link opens new browser tab
19648816954069,Los Angeles,Pasadena Unified,St. Gregory's A. & M. Hovsepian School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648816954069,vbardakjian@hovsepianschool.org,Mrs. Varteni Tina Bardakjian Administrator vbardakjian@hovsepianschool.org Mrs. Varteni Tina Bardakjian (Custodian of Records) vbardakjian@hovsepianschool.org,19 64881 6954069,Information Not Available,(626) 578-7378,8,"August 15, 2025",Pasadena Unified,K,"2215 E Colorado Blvd Pasadena, CA 91107-3642","July 1, 1980",(626) 578-1343,No,"2215 E Colorado Blvd Pasadena, CA 91107-3642 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,http://hovsepianschool.org Link opens new browser tab
19648816960785,Los Angeles,Pasadena Unified,Assumption of the Blessed Virgin Mary,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648816960785,admissions@abvmpasadena.org,Mr. Robert Bringas Jr. Principal rbringas@abvmpasadena.org Mr. Robert Bringas Jr. (Custodian of Records) rbringas@abvmpasadena.org,19 64881 6960785,Information Not Available,(626) 793-4070,8,"November 26, 2024",Pasadena Unified,K,"2660 East Orange Grove Blvd. Pasadena, CA 91107-2632","July 1, 1980",(626) 793-2089,No,"2660 East Orange Grove Blvd. Pasadena, CA 91107-2632 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,http://school.abvmpasadena.org Link opens new browser tab
19648816962625,Los Angeles,Pasadena Unified,Mayfield Junior School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648816962625,lrabitoy@mayfieldjs.org,Linda Rabitoy Administrator lrabitoy@mayfieldjs.org Mrs. Linda Rabitoy (Custodian of Records) lrabitoy@mayfieldjs.org,19 64881 6962625,Information Not Available,(626) 796-1377,8,"August 6, 2025",Pasadena Unified,K,"405 South Euclid Ave. Pasadena, CA 91101-3126","July 1, 1980",(626) 796-2106,No,"405 South Euclid Ave. Pasadena, CA 91101-3126 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.mayfieldjs.org Link opens new browser tab
19648816963367,Los Angeles,Pasadena Unified,St. Andrew Catholic School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648816963367,info@saspasadena.com,Jae Kim Principal jkim@saspasadena.com Mr. Jae Kim (Custodian of Records) jkim@saspasadena.com,19 64881 6963367,Information Not Available,Information Not Available,8,"November 26, 2024",Pasadena Unified,K,"42 Chestnut St. Pasadena, CA 91103-3802","July 1, 1980",(626) 796-7697,No,"42 Chestnut St. Pasadena, CA 91103-3802 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.saspasadena.com Link opens new browser tab
